concept_category,concept,n_subj,color_set,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71
directions,above,,uw58,0.707034884,0.642151163,0.611976744,0.588023256,0.660755814,0.653662791,0.614127907,0.503081395,0.585872093,0.612732558,0.676162791,0.550755814,0.651104651,0.637790698,0.51872093,0.532965116,0.561511628,0.520290698,0.589302326,0.560872093,,0.550523256,0.673313953,,0.539302326,0.408313953,0.473837209,0.545988372,0.654127907,,0.513953488,0.497093023,0.560872093,0.603662791,0.58505814,0.599476744,,0.44453488,0.52,0.58110465,,0.475930233,0.457267442,0.510523256,,0.470988372,0.554186047,0.575290698,0.545639535,0.623546512,0.504709302,0.585348837,,0.508895349,0.542325581,,0.501686047,0.635232558,,0.530465116,0.60372093,0.596918605,0.617034884,,0.575872093,,0.577965116,,0.640406977,,0.622209302
directions,below,,uw58,0.463953488,0.565174419,0.470697674,0.512034884,0.502209302,0.572034884,0.496046512,0.608662791,0.539244186,0.501918605,0.479186047,0.569883721,0.575174419,0.491104651,0.629825581,0.530348837,0.516686047,0.609244186,0.56127907,0.461104651,,0.60877907,0.468662791,,0.55372093,0.580232558,0.570872093,0.491744186,0.486860465,,0.569069767,0.520174419,0.508081395,0.513488372,0.464186047,0.522267442,,0.63389535,0.62639535,0.54930233,,0.589302326,0.602616279,0.517616279,,0.555581395,0.546046512,0.493255814,0.49377907,0.485116279,0.554418605,0.53994186,,0.6225,0.500174419,,0.577383721,0.546569767,,0.591337209,0.53,0.54494186,0.452732558,,0.53877907,,0.437965116,,0.461337209,,0.488313953
directions,beside,,uw58,0.58494186,0.575697674,0.566104651,0.56872093,0.544127907,0.581337209,0.61,0.590697674,0.54994186,0.558837209,0.601511628,0.567383721,0.609476744,0.625930233,0.565988372,0.587674419,0.603895349,0.611976744,0.499883721,0.515232558,,0.594709302,0.606627907,,0.542151163,0.53255814,0.541918605,0.616046512,0.614476744,,0.541686047,0.58622093,0.585406977,0.509709302,0.489767442,0.576162791,,0.56023256,0.55709302,0.57302326,,0.526686047,0.539534884,0.595697674,,0.542267442,0.551802326,0.549593023,0.540465116,0.516395349,0.51122093,0.542965116,,0.579825581,0.578546512,,0.503546512,0.548488372,,0.56877907,0.552965116,0.579127907,0.554011628,,0.519418605,,0.528662791,,0.576395349,,0.573372093
directions,far,,uw58,0.504651163,0.533139535,0.507034884,0.533895349,0.512151163,0.568139535,0.529767442,0.593197674,0.53622093,0.538255814,0.495755814,0.609186047,0.566162791,0.52627907,0.607965116,0.585232558,0.529011628,0.6,0.559186047,0.561569767,,0.63122093,0.525174419,,0.570406977,0.611918605,0.605813953,0.510523256,0.475,,0.622325581,0.584244186,0.520930233,0.564069767,0.555697674,0.536569767,,0.63069767,0.60354651,0.60732558,,0.607616279,0.547616279,0.529418605,,0.598430233,0.549186047,0.502790698,0.581569767,0.545988372,0.552209302,0.531860465,,0.557965116,0.517616279,,0.531395349,0.490232558,,0.551395349,0.529825581,0.539418605,0.522732558,,0.502325581,,0.513546512,,0.47372093,,0.504069767
directions,near,,uw58,0.623313953,0.634476744,0.649069767,0.603372093,0.638953488,0.610930233,0.669651163,0.557906977,0.617325581,0.612906977,0.653255814,0.553662791,0.584186047,0.571569767,0.506744186,0.538488372,0.613604651,0.571744186,0.530697674,0.578139535,,0.523139535,0.601976744,,0.481395349,0.476337209,0.460406977,0.571104651,0.636162791,,0.503430233,0.519302326,0.570406977,0.519651163,0.576686047,0.575348837,,0.49459302,0.50645349,0.52790698,,0.48755814,0.503546512,0.571860465,,0.517151163,0.505639535,0.563313953,0.563604651,0.537151163,0.549709302,0.5925,,0.468197674,0.563197674,,0.497906977,0.601976744,,0.519709302,0.569767442,0.6025,0.568372093,,0.579302326,,0.618895349,,0.615348837,,0.600174419
emotions,angry,,uw58,0.388536585,0.495304878,0.374085366,0.420243902,0.394756098,0.472378049,0.409756098,0.494329268,0.40445122,0.434695122,0.346036585,0.523719512,0.440060976,0.348963415,0.531585366,0.46,0.402682927,0.529817073,0.434695122,0.443719512,,0.419817073,0.408719512,,0.56445122,0.564512195,0.524085366,0.342012195,0.315,,0.562195122,0.449634146,0.385853659,0.427012195,0.440304878,0.377012195,,0.46670732,0.50536585,0.41146341,,0.583597561,0.517195122,0.408719512,,0.612012195,0.505426829,0.362865854,0.522865854,0.533353659,0.387195122,0.348597561,,0.453292683,0.38847561,,0.507682927,0.436036585,,0.440243902,0.500182927,0.563170732,0.648780488,,0.421829268,,0.43347561,,0.442256098,,0.434329268
emotions,disgust,,uw58,0.416829268,0.46695122,0.471341463,0.456829268,0.444634146,0.550121951,0.466158537,0.53945122,0.429695122,0.449512195,0.450609756,0.573292683,0.513780488,0.405487805,0.522804878,0.489268293,0.415853659,0.554207317,0.471707317,0.487317073,,0.470914634,0.380426829,,0.573841463,0.657134146,0.509817073,0.419939024,0.353536585,,0.594756098,0.554207317,0.41445122,0.52597561,0.457378049,0.40804878,,0.57,0.51993902,0.44018293,,0.684268293,0.615304878,0.405670732,,0.643658537,0.606341463,0.482743902,0.473963415,0.544573171,0.521219512,0.475609756,,0.560914634,0.47902439,,0.620304878,0.49804878,,0.631707317,0.447317073,0.567743902,0.487012195,,0.454695122,,0.498414634,,0.535243902,,0.480121951
emotions,fearful,,uw58,0.42195122,0.503780488,0.483963415,0.437926829,0.466158537,0.567621951,0.459756098,0.540060976,0.467439024,0.475304878,0.396646341,0.506158537,0.462256098,0.40402439,0.50304878,0.48847561,0.409878049,0.568902439,0.453658537,0.472256098,,0.487195122,0.412073171,,0.673780488,0.602621951,0.567804878,0.420182927,0.328963415,,0.564146341,0.462682927,0.392073171,0.482682927,0.50097561,0.417439024,,0.52146341,0.52158537,0.4375,,0.553109756,0.512987805,0.442621951,,0.58347561,0.554207317,0.417987805,0.510304878,0.516707317,0.461402439,0.442012195,,0.532012195,0.401768293,,0.496768293,0.405853659,,0.498902439,0.404329268,0.538841463,0.594146341,,0.448658537,,0.430426829,,0.498292683,,0.47402439
emotions,happy,,uw58,0.655731707,0.630792683,0.657256098,0.691829268,0.629573171,0.583231707,0.619573171,0.592987805,0.682865854,0.645853659,0.669146341,0.505853659,0.538780488,0.621219512,0.522560976,0.628536585,0.670731707,0.563658537,0.657134146,0.629634146,,0.542682927,0.697378049,,0.36097561,0.382682927,0.491097561,0.617012195,0.731280488,,0.468292683,0.521158537,0.657317073,0.604695122,0.617256098,0.701219512,,0.54554878,0.57914634,0.63847561,,0.42097561,0.460487805,0.631463415,,0.470243902,0.497073171,0.64652439,0.54804878,0.589695122,0.622682927,0.705,,0.595060976,0.677621951,,0.547439024,0.618658537,,0.513353659,0.639634146,0.607378049,0.594146341,,0.740182927,,0.676402439,,0.664329268,,0.685792683
emotions,sad,,uw58,0.439390244,0.493597561,0.467073171,0.386890244,0.462012195,0.566036585,0.463902439,0.492743902,0.437743902,0.341890244,0.335304878,0.616768293,0.558658537,0.419085366,0.623841463,0.465243902,0.396097561,0.485670732,0.365121951,0.406341463,,0.549756098,0.377682927,,0.637439024,0.642256098,0.61902439,0.453170732,0.387378049,,0.624146341,0.514939024,0.388170732,0.391463415,0.358109756,0.403658537,,0.53920732,0.5279878,0.40182927,,0.645609756,0.616890244,0.43152439,,0.623963415,0.55195122,0.421341463,0.45402439,0.389512195,0.478292683,0.397256098,,0.466036585,0.367865854,,0.567378049,0.41597561,,0.561036585,0.396158537,0.473902439,0.404817073,,0.377378049,,0.40347561,,0.389512195,,0.390182927
fruit,blueberry,,uw58,0.707453704,0.761342593,0.68587963,0.595231481,0.725601852,0.789398148,0.705833333,0.713611111,0.660509259,0.521157407,0.635185185,0.760324074,0.725972222,0.583518519,0.719027778,0.578611111,0.502638889,0.630601852,0.523425926,0.46787037,,0.572361111,0.55537037,,0.403796296,0.465740741,0.383055556,0.423194444,0.378194444,,0.518055556,0.482824074,0.409814815,0.465740741,0.425138889,0.455277778,,0.4399537,0.43824074,0.45523148,,0.398240741,0.40462963,0.41087963,,0.444861111,0.408703704,0.397731481,0.407175926,0.439722222,0.431435185,0.445092593,,0.404768519,0.379398148,,0.387592593,0.405925926,,0.414814815,0.388842593,0.395787037,0.383472222,,0.419166667,,0.376388889,,0.396944444,,0.433888889
fruit,lemon,,uw58,0.380925926,0.372916667,0.375138889,0.36537037,0.343703704,0.38662037,0.369861111,0.394398148,0.357638889,0.350925926,0.398333333,0.362222222,0.389305556,0.377916667,0.352916667,0.383287037,0.380648148,0.389166667,0.378240741,0.340833333,,0.454953704,0.420046296,,0.348472222,0.349583333,0.365740741,0.374583333,0.41587963,,0.371481481,0.35662037,0.393009259,0.375462963,0.344675926,0.466018519,,0.54717593,0.54347222,0.5224537,,0.430787037,0.42712963,0.450324074,,0.367361111,0.403333333,0.39837963,0.380648148,0.363425926,0.569166667,0.558842593,,0.573194444,0.581481481,,0.554907407,0.622222222,,0.456666667,0.460046296,0.364074074,0.378287037,,0.576388889,,0.704305556,,0.72912037,,0.604212963
